מזהה_בקשה,מחוז,אזור,סוג_מבנה,שטח_מבוקש_מ2,שטח_חקלאי_דונם,מספר_בעלי_חיים,מרחק_מכביש_מטר,מרחק_ממגורים_מטר,גובה_מבנה_מטר,פנלים_סולאריים,ייעוד_חקלאי,עמידה_בתמא,מכתב_המלצה,סטטוס_אישור,סיבת_ההחלטה
AG-2024-0358,מחוז צפון,שרון,בית אריזה פרחים,538,150,0,63.3,196.5,5.7,כן,כן,כן,לא,מאושר,""
AG-2024-0359,מחוז מרכז,גליל,מכון רדייה,660,185,0,182.1,388.8,7.2,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0360,מחוז ירושלים,חוף הכרמל,מכון רדייה,151,22,0,161.2,598.1,5.6,כן,כן,כן,לא,מאושר,""
AG-2024-0361,מחוז חיפה,שרון,אורווה,696,10,21,198.4,169.5,6.5,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0362,מחוז דרום,בקעת הירדן,אורווה,344,99,29,73.8,345,1.6,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0363,מחוז דרום,שפלה,רפת,358,45,169,88.8,823.9,6,כן,כן,כן,לא,מאושר,""
AG-2024-0364,מחוז תל אביב,שרון,מכון רדייה,960,111,0,123.1,793.4,9.6,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0365,מחוז חיפה,גליל,בית אריזה,385,53,0,12.3,355.6,4.9,לא,כן,כן,כן,מאושר,""
AG-2024-0366,מחוז תל אביב,שפלה,לול,427,80,2297,124.7,201.2,2.8,לא,כן,כן,לא,דרוש תיקון,"לול - מרחק ממגורים בין 100-300מ"
AG-2024-0367,מחוז חיפה,שרון,אורווה,248,180,24,115.8,256.6,4.3,כן,כן,כן,לא,מאושר,""
AG-2024-0368,מחוז מרכז,שרון,מחסן קירור,752,7,0,57.7,708.4,6.9,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0369,מחוז חיפה,ערבה,רפת,598,103,142,125.5,233.6,8.2,לא,כן,כן,כן,מאושר,""
AG-2024-0370,מחוז דרום,נגב,אורווה,44,193,8,74.1,272,10.3,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0371,מחוז מרכז,עמקים,יקב,196,11,0,170.9,397.8,6.5,לא,כן,כן,לא,מאושר,""
AG-2024-0372,מחוז תל אביב,חוף הכרמל,אורווה,726,179,29,119.8,263.2,7.2,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0373,מחוז ירושלים,שפלה,סככת ציוד,399,32,0,109.3,922.6,8.2,לא,כן,כן,לא,מאושר,""
AG-2024-0374,מחוז דרום,חוף הכרמל,חממת קנאביס רפואי,2089,143,0,114.2,280.4,8.2,כן,כן,כן,לא,נדחה,"חממת קנאביס מעל 2000 מ2"
AG-2024-0375,מחוז צפון,בקעת הירדן,רפת,491,147,200,65.8,404.2,8.2,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0376,מחוז תל אביב,נגב,רפת,239,83,284,56.6,334.5,2,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0377,מחוז מרכז,בקעת הירדן,חממת קנאביס רפואי,914,11,0,139.6,90.7,10.7,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0378,מחוז חיפה,עמקים,בית אריזה,170,14,0,40,794.6,5,לא,כן,כן,לא,מאושר,""
AG-2024-0379,מחוז תל אביב,עמקים,לול,325,5,32428,142.7,823.5,11.5,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0380,מחוז חיפה,גליל,חממת קנאביס רפואי,2129,87,0,119.2,940.9,3.4,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא; חממת קנאביס מעל 2000 מ2"
AG-2024-0381,מחוז צפון,חוף הכרמל,לול,392,86,73020,12.6,780.9,10.7,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0382,מחוז תל אביב,נגב,חממת קנאביס רפואי,585,137,0,14.6,221.7,10.3,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0383,מחוז צפון,חוף הכרמל,בית אריזה תות שדה,333,39,0,15.7,153.3,2.2,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0384,מחוז חיפה,ערבה,כבשייה,522,176,492,174.7,883.2,5,כן,כן,כן,כן,מאושר,""
AG-2024-0385,מחוז דרום,גליל,מכון רדייה,194,93,0,30,323.1,1.6,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0386,מחוז תל אביב,נגב,בית אריזה פרחים,708,18,0,15,701.9,11.4,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0387,מחוז חיפה,שרון,רפת,299,137,69,119.3,566.2,10.2,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0388,מחוז דרום,בקעת הירדן,בית אריזה פרחים,497,32,0,97.8,164,5.8,לא,כן,כן,כן,מאושר,""
AG-2024-0389,מחוז חיפה,נגב,יקב,138,120,0,192.3,241.5,5.9,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0390,מחוז תל אביב,חוף הכרמל,חממת קנאביס רפואי,825,174,0,38,575.3,7.9,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0391,מחוז ירושלים,חוף הכרמל,בית בד,357,161,0,66,494.8,3.5,לא,כן,כן,לא,מאושר,""
AG-2024-0392,מחוז תל אביב,בקעת הירדן,לול,524,19,59522,198.9,501.7,2.3,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0393,מחוז תל אביב,עמקים,לול,610,95,48777,187.6,207.7,3.2,לא,כן,כן,כן,דרוש תיקון,"לול - מרחק ממגורים בין 100-300מ"
AG-2024-0394,מחוז ירושלים,בקעת הירדן,חממה,708,132,0,28.8,426.2,2.4,לא,כן,כן,כן,מאושר,""
AG-2024-0395,מחוז דרום,גליל,מחסן קירור,59,154,0,194,357.6,9.3,כן,כן,כן,לא,מאושר,""
AG-2024-0396,מחוז צפון,חוף הכרמל,בריכת דגים,403,93,0,28.8,235.9,5.9,לא,כן,כן,כן,מאושר,""
AG-2024-0397,מחוז ירושלים,שפלה,בית בד,321,79,0,124,712.7,9.2,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0398,מחוז צפון,שפלה,חממה,2074,155,0,124.1,338.9,10.3,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0399,מחוז ירושלים,בקעת הירדן,בית אריזה,119,93,0,6.1,815,9.2,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0400,מחוז מרכז,בקעת הירדן,רפת,415,100,158,118.9,773.6,2,לא,כן,כן,לא,מאושר,""
AG-2024-0401,מחוז צפון,נגב,אורווה,569,177,15,14.9,506.8,4.1,כן,כן,כן,כן,מאושר,""
AG-2024-0402,מחוז צפון,שרון,חממת קנאביס רפואי,1995,16,0,60,534.9,6.7,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0403,מחוז חיפה,שרון,אורווה,274,33,16,116.7,555.4,6.2,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0404,מחוז דרום,שפלה,יקב,90,27,0,137.8,987.9,6.3,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0405,מחוז צפון,גולן,מחסן קירור,389,107,0,10,538.6,10.1,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0406,מחוז תל אביב,בקעת הירדן,רפת,427,168,280,199.8,722.4,5.6,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0407,מחוז חיפה,שפלה,כבשייה,304,48,172,105,874.3,6.8,כן,כן,כן,כן,מאושר,""
AG-2024-0408,מחוז דרום,ערבה,חממה,1894,175,0,112,240.8,1.8,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0409,מחוז תל אביב,שפלה,חממה,609,129,0,165.9,640.9,3.5,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0410,מחוז דרום,גולן,חממת קנאביס רפואי,2092,126,0,165.7,622.7,2.5,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא; חממת קנאביס מעל 2000 מ2"
AG-2024-0411,מחוז חיפה,נגב,בריכת דגים,555,111,0,131.2,646.1,3.7,כן,כן,כן,לא,מאושר,""
AG-2024-0412,מחוז חיפה,שרון,בריכת דגים,101,102,0,56,191.2,10.9,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0413,מחוז צפון,ערבה,בית אריזה פרחים,428,187,0,152.2,775.1,7.5,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0414,מחוז ירושלים,גליל,מכון רדייה,520,43,0,93.9,818.5,7.1,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0415,מחוז צפון,עמקים,אורווה,217,27,26,84.1,34.6,4.5,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0416,מחוז תל אביב,גולן,בריכת דגים,586,63,0,62.6,358.2,4.9,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0417,מחוז ירושלים,נגב,מחסן קירור,552,181,0,161.5,476.6,8.9,כן,כן,כן,לא,מאושר,""
AG-2024-0418,מחוז תל אביב,שפלה,חממת קנאביס רפואי,1932,198,0,77.1,349.7,2.6,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0419,מחוז ירושלים,שרון,מחסן חקלאי,430,160,0,77,843.5,2.7,כן,כן,כן,כן,מאושר,""
AG-2024-0420,מחוז ירושלים,עמקים,בית אריזה תות שדה,421,74,0,69.3,195.9,4.2,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0421,מחוז מרכז,שפלה,מכון רדייה,752,61,0,178.3,308.5,5,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0422,מחוז חיפה,גולן,מחסן חקלאי,488,5,0,58.1,748.1,4.4,כן,כן,כן,לא,מאושר,""
AG-2024-0423,מחוז ירושלים,בקעת הירדן,יקב,374,27,0,92.2,460.4,3.6,לא,כן,כן,כן,מאושר,""
AG-2024-0424,מחוז מרכז,נגב,בית אריזה תות שדה,82,27,0,182.1,538.4,3,כן,כן,כן,לא,מאושר,""
AG-2024-0425,מחוז תל אביב,עמקים,בית אריזה,170,10,0,74.7,270.4,3,כן,כן,כן,לא,מאושר,""
AG-2024-0426,מחוז דרום,עמקים,לול,346,74,55859,162,896,5.8,כן,כן,כן,לא,מאושר,""
AG-2024-0427,מחוז חיפה,עמקים,חממת קנאביס רפואי,2070,174,0,82.3,557.4,9.5,לא,כן,כן,לא,נדחה,"חממת קנאביס מעל 2000 מ2"
AG-2024-0428,מחוז חיפה,גליל,כבשייה,103,6,450,36.8,27.8,9.6,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0429,מחוז מרכז,חוף הכרמל,בית בד,344,62,0,14.4,79.9,7.8,כן,כן,כן,כן,מאושר,""
AG-2024-0430,מחוז חיפה,שפלה,לול,635,196,51971,40,641.1,7.3,לא,כן,כן,לא,מאושר,""
AG-2024-0431,מחוז דרום,עמקים,רפת,696,9,283,70.9,194.9,8.4,כן,כן,כן,לא,מאושר,""
AG-2024-0432,מחוז חיפה,בקעת הירדן,רפת,297,33,177,28.3,939.2,9.7,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0433,מחוז מרכז,גולן,רפת,697,121,108,169.8,415.2,2.2,לא,כן,כן,כן,מאושר,""
AG-2024-0434,מחוז דרום,חוף הכרמל,יקב,231,119,0,147.5,825.4,5.2,כן,כן,כן,כן,מאושר,""
AG-2024-0435,מחוז מרכז,גליל,חממת קנאביס רפואי,1230,189,0,125.3,127.5,11.4,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ; חסר מכתב המלצה לבנייה גדולה"
AG-2024-0436,מחוז מרכז,גליל,בית אריזה,99,66,0,60.6,91.2,2.2,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0437,מחוז חיפה,שרון,חממה,622,24,0,115,163.9,6.3,לא,כן,כן,כן,מאושר,""
AG-2024-0438,מחוז ירושלים,נגב,כבשייה,31,55,327,39.5,272.7,3.1,כן,כן,כן,כן,מאושר,""
AG-2024-0439,מחוז דרום,שרון,מכון רדייה,470,32,0,179.6,713.6,4.8,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0440,מחוז מרכז,גולן,חממה,508,69,0,179.1,927,9,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0441,מחוז דרום,גליל,בית בד,383,157,0,35.3,989.8,8.9,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0442,מחוז ירושלים,שפלה,לול,506,57,88743,64.8,573.8,4.3,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0443,מחוז חיפה,גליל,בית אריזה תות שדה,360,115,0,58.8,615.2,8,כן,כן,כן,לא,מאושר,""
AG-2024-0444,מחוז דרום,חוף הכרמל,בית אריזה תות שדה,449,181,0,46.7,321.4,2.3,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0445,מחוז חיפה,עמקים,חממת קנאביס רפואי,318,120,0,92.6,887.8,2.4,כן,כן,כן,כן,מאושר,""
AG-2024-0446,מחוז תל אביב,עמקים,בית בד,99,88,0,128.4,144.3,1.8,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0447,מחוז תל אביב,גולן,רפת,534,145,272,97,886.3,3.5,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0448,מחוז תל אביב,ערבה,חממה,626,88,0,179.2,827.6,4.9,לא,כן,כן,לא,מאושר,""
AG-2024-0449,מחוז ירושלים,בקעת הירדן,בית אריזה תות שדה,635,183,0,21.3,365.2,6,כן,כן,כן,לא,מאושר,""
AG-2024-0450,מחוז חיפה,שפלה,מחסן חקלאי,522,127,0,189.9,983.6,4.1,כן,כן,כן,כן,מאושר,""
AG-2024-0451,מחוז צפון,ערבה,אורווה,692,83,21,111.4,585.7,5.1,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0452,מחוז תל אביב,שפלה,מחסן קירור,672,112,0,166.2,784.3,3.5,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0453,מחוז דרום,גולן,סככת ציוד,115,24,0,32.7,505.3,10.7,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0454,מחוז ירושלים,ערבה,מחסן קירור,654,140,0,74.6,977.2,7.8,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0455,מחוז ירושלים,גולן,סככת ציוד,251,114,0,169.2,462.1,4.8,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0456,מחוז חיפה,נגב,חממת קנאביס רפואי,765,13,0,173.4,365,6.5,כן,כן,כן,כן,מאושר,""
AG-2024-0457,מחוז מרכז,גליל,לול,344,126,16564,12.5,467.5,1.9,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0458,מחוז תל אביב,ערבה,מחסן קירור,692,8,0,160.4,136.8,10.8,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0459,מחוז תל אביב,שפלה,בית אריזה תות שדה,161,78,0,66.8,529.7,2.6,כן,כן,כן,כן,מאושר,""
AG-2024-0460,מחוז צפון,גליל,בית בד,185,158,0,186.2,370.4,7.6,לא,כן,כן,כן,מאושר,""
AG-2024-0461,מחוז מרכז,נגב,חממת קנאביס רפואי,1138,182,0,65.7,709.9,2.3,כן,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0462,מחוז דרום,גליל,רפת,371,5,115,57.5,668.7,5.8,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0463,מחוז ירושלים,גולן,רפת,560,130,105,96.7,20.1,5.9,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0464,מחוז ירושלים,גליל,חממת קנאביס רפואי,994,27,0,66.5,688.7,4.2,כן,כן,כן,כן,מאושר,""
AG-2024-0465,מחוז חיפה,ערבה,לול,604,136,42767,61.9,547.8,3.5,כן,כן,כן,כן,מאושר,""
AG-2024-0466,מחוז דרום,שרון,רפת,663,160,143,39.1,58.2,8.8,לא,כן,כן,כן,מאושר,""
AG-2024-0467,מחוז צפון,חוף הכרמל,בית בד,733,90,0,124.5,589.5,4.3,כן,כן,כן,כן,מאושר,""
AG-2024-0468,מחוז מרכז,שרון,חממת קנאביס רפואי,1031,85,0,104.9,427.5,6.6,לא,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0469,מחוז תל אביב,נגב,אורווה,268,177,18,182.5,927.6,7.3,כן,כן,כן,כן,מאושר,""
AG-2024-0470,מחוז דרום,עמקים,יקב,150,97,0,177.2,561.4,7.6,כן,כן,כן,לא,מאושר,""
AG-2024-0471,מחוז צפון,שרון,חממת קנאביס רפואי,1375,169,0,129.2,783.5,9.6,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0472,מחוז דרום,בקעת הירדן,בריכת דגים,300,159,0,152.1,140.4,8.5,לא,כן,כן,כן,מאושר,""
AG-2024-0473,מחוז ירושלים,גליל,אורווה,415,39,9,6.8,207.8,8,כן,כן,כן,לא,דרוש תיקון,"מרחק מכביש נמוך"
AG-2024-0474,מחוז דרום,בקעת הירדן,בית אריזה,498,161,0,20.3,796.9,9.5,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0475,מחוז תל אביב,שרון,יקב,326,37,0,160.1,637.6,8.1,לא,כן,כן,כן,מאושר,""
AG-2024-0476,מחוז צפון,שרון,בית אריזה פרחים,196,191,0,48,590.3,4.5,לא,כן,כן,לא,מאושר,""
AG-2024-0477,מחוז מרכז,בקעת הירדן,לול,630,185,49940,73.9,266,4.8,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0478,מחוז חיפה,שרון,חממה,1329,12,0,187.7,695.5,5.9,לא,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0479,מחוז דרום,ערבה,בית בד,711,41,0,58.2,753.1,11.4,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0480,מחוז מרכז,חוף הכרמל,בריכת דגים,256,12,0,157.9,397.6,7.3,כן,כן,כן,לא,מאושר,""
AG-2024-0481,מחוז צפון,שרון,לול,487,20,32690,108.6,708,2.3,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0482,מחוז דרום,נגב,בית אריזה,757,196,0,73.2,147.1,9.4,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0483,מחוז דרום,עמקים,חממת קנאביס רפואי,1632,162,0,146.5,190.8,5.5,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0484,מחוז ירושלים,שפלה,חממת קנאביס רפואי,1752,75,0,72.9,725.6,9.2,כן,כן,כן,כן,מאושר,""
AG-2024-0485,מחוז חיפה,ערבה,אורווה,64,64,9,78.4,928.2,5.1,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0486,מחוז חיפה,שפלה,בית אריזה תות שדה,424,168,0,112.5,156.9,9.7,לא,כן,כן,לא,מאושר,""
AG-2024-0487,מחוז ירושלים,גליל,יקב,796,123,0,37.6,101.2,10.7,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0488,מחוז תל אביב,שפלה,בית בד,569,111,0,157.9,197,6.4,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0489,מחוז דרום,בקעת הירדן,אורווה,89,7,17,133.3,290.9,8.8,לא,כן,כן,לא,מאושר,""
AG-2024-0490,מחוז חיפה,שפלה,רפת,329,166,334,111.2,246.7,9.5,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0491,מחוז צפון,גליל,בית אריזה,244,12,0,197.4,140.2,7.1,כן,כן,כן,כן,מאושר,""
AG-2024-0492,מחוז תל אביב,גליל,בית בד,588,168,0,61.9,95.5,7.5,לא,כן,כן,לא,מאושר,""
AG-2024-0493,מחוז דרום,עמקים,חממת קנאביס רפואי,1698,69,0,133.6,969.8,9.1,כן,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0494,מחוז חיפה,גולן,מחסן חקלאי,50,60,0,58.7,181.9,4.5,כן,כן,כן,לא,מאושר,""
AG-2024-0495,מחוז צפון,שפלה,בית בד,84,136,0,42.8,893.6,8.9,לא,כן,כן,כן,מאושר,""
AG-2024-0496,מחוז תל אביב,חוף הכרמל,מחסן חקלאי,100,100,0,101.3,865.5,5.2,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0497,מחוז ירושלים,חוף הכרמל,מחסן קירור,188,90,0,27.7,811.4,10.7,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0498,מחוז תל אביב,שרון,בית אריזה פרחים,476,9,0,132,65.3,10.6,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0499,מחוז חיפה,גולן,אורווה,710,116,6,30.4,802,8.8,כן,כן,כן,לא,מאושר,""
AG-2024-0500,מחוז מרכז,נגב,אורווה,382,90,13,36.5,321.1,6.1,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0501,מחוז דרום,גליל,יקב,572,154,0,156,675.3,5,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0502,מחוז דרום,גולן,חממה,1442,138,0,109.4,614.8,5.7,כן,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0503,מחוז דרום,חוף הכרמל,אורווה,733,194,5,157.6,422.1,9.1,כן,כן,כן,לא,מאושר,""
AG-2024-0504,מחוז דרום,שפלה,מחסן קירור,240,121,0,100.1,24.5,7.2,כן,כן,כן,כן,מאושר,""
AG-2024-0505,מחוז מרכז,חוף הכרמל,חממת קנאביס רפואי,973,40,0,90.4,668.6,11,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0506,מחוז דרום,שפלה,בריכת דגים,406,148,0,97.9,990.5,6.1,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0507,מחוז צפון,חוף הכרמל,בריכת דגים,108,129,0,7.2,278.8,5.9,כן,כן,כן,כן,דרוש תיקון,"מרחק מכביש נמוך"
AG-2024-0508,מחוז מרכז,שרון,כבשייה,487,122,104,82,672.4,6.5,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0509,מחוז תל אביב,גליל,לול,272,89,51257,151.7,187.5,3.3,כן,כן,כן,כן,דרוש תיקון,"לול - מרחק ממגורים בין 100-300מ"
AG-2024-0510,מחוז צפון,שפלה,בית בד,494,82,0,11.8,158,9.4,כן,כן,כן,כן,מאושר,""
AG-2024-0511,מחוז מרכז,גולן,בית בד,559,198,0,136.6,932.6,4.4,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0512,מחוז צפון,עמקים,חממה,2179,108,0,51.4,750.2,9.6,כן,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0513,מחוז מרכז,גליל,חממת קנאביס רפואי,1582,172,0,148.5,954.5,9.7,לא,כן,כן,לא,דרוש תיקון,"חסר מכתב המלצה לבנייה גדולה"
AG-2024-0514,מחוז מרכז,עמקים,לול,514,162,2508,184.4,29.4,6.2,כן,כן,כן,לא,נדחה,"לול - מרחק ממגורים פחות מ-100מ"
AG-2024-0515,מחוז צפון,חוף הכרמל,בית אריזה פרחים,249,104,0,22.6,307.2,5.5,כן,כן,כן,כן,מאושר,""
AG-2024-0516,מחוז מרכז,ערבה,בית אריזה,112,174,0,185.3,959.8,10.1,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0517,מחוז חיפה,עמקים,מחסן קירור,227,130,0,107.3,183.4,8.7,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0518,מחוז מרכז,שרון,בית בד,784,191,0,91,784.1,10,לא,כן,כן,כן,מאושר,""
AG-2024-0519,מחוז מרכז,עמקים,מכון רדייה,529,111,0,123.2,563,5.1,כן,כן,כן,כן,מאושר,""
AG-2024-0520,מחוז צפון,ערבה,בית בד,158,192,0,172.8,301.8,2.4,לא,כן,כן,לא,מאושר,""
AG-2024-0521,מחוז דרום,גליל,בית אריזה פרחים,398,176,0,191.2,842.7,5.3,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0522,מחוז חיפה,ערבה,מחסן חקלאי,354,73,0,144.5,933.5,6.8,לא,כן,כן,כן,מאושר,""
AG-2024-0523,מחוז תל אביב,חוף הכרמל,לול,331,14,46446,180.3,116.4,3,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0524,מחוז צפון,חוף הכרמל,חממת קנאביס רפואי,581,101,0,96.9,962.7,7.1,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0525,מחוז תל אביב,גולן,מחסן קירור,390,103,0,14.4,354.9,10.1,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0526,מחוז חיפה,עמקים,יקב,792,190,0,192.3,594.6,8.1,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0527,מחוז ירושלים,גליל,בית אריזה תות שדה,169,154,0,154.6,273.5,1.7,כן,כן,כן,לא,מאושר,""
AG-2024-0528,מחוז תל אביב,ערבה,בית אריזה,502,106,0,116,181.1,2.5,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0529,מחוז ירושלים,גליל,לול,305,19,87663,143.6,325.9,10.8,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0530,מחוז תל אביב,גולן,בית אריזה פרחים,525,65,0,31.7,323.5,9.5,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0531,מחוז חיפה,גליל,בית אריזה,522,93,0,125.7,124.8,4.9,כן,כן,כן,כן,מאושר,""
AG-2024-0532,מחוז חיפה,חוף הכרמל,סככת ציוד,30,154,0,172.3,126.5,11.3,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0533,מחוז ירושלים,חוף הכרמל,כבשייה,326,128,173,185.5,153.2,3.3,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0534,מחוז מרכז,שרון,בית בד,99,103,0,7.9,127.1,6.6,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0535,מחוז ירושלים,חוף הכרמל,מכון רדייה,509,150,0,11.4,49.6,1.7,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0536,מחוז חיפה,בקעת הירדן,אורווה,51,109,5,83.4,665.1,5.9,כן,כן,כן,לא,מאושר,""
